Topic,Words,Frequency,Timestamp,Name
-1,"star, celebrity, 2022, matt, black",26,2022-11-09 10:49:54.150000128,-1_said_supply_chain_new
0,"lithium, minerals, battery, supply, critical",7,2022-11-09 10:49:54.150000128,0_lithium_battery_minerals_supply
1,"lithium, said, aramco, energy, wind",4,2022-11-09 10:49:54.150000128,1_energy_supply_said_chain
2,"apple, china, ymtc, goertek, iphone",3,2022-11-09 10:49:54.150000128,2_apple_china_iphone_india
3,"supply, chain, data, technology, businesses",3,2022-11-09 10:49:54.150000128,3_supply_chain_business_businesses
4,"hospital, amc, atlanta, closures, hospitals",2,2022-11-09 10:49:54.150000128,4_labour_said_forced_workers
5,"microsoft, supply, chain, data, platform",1,2022-11-09 10:49:54.150000128,5_chain_supply_solutions_logistics
6,"semiconductor, vietnam, tech, supply, chain",2,2022-11-09 10:49:54.150000128,6_semiconductor_india_taiwan_vietnam
7,"war, ukraine, russians, ukrainians, military",2,2022-11-09 10:49:54.150000128,7_china_ukraine_war_military
8,"drug, health, hospitals, drugs, says",4,2022-11-09 10:49:54.150000128,8_drug_shortages_health_drugs
9,"food, prices, said, eggs, price",4,2022-11-09 10:49:54.150000128,9_food_prices_price_supply
10,"produce, food, said, farms, collective",1,2022-11-09 10:49:54.150000128,10_vegan_grocery_said_food
11,"mcdonald, ni, local, ireland, food",1,2022-11-09 10:49:54.150000128,11_food_agri_milk_farmers
13,"pan, 2022, million, corporation, cash",4,2022-11-09 10:49:54.150000128,13_gaap_million_market_net
14,"market, exhibit, 2027, 2022, forecast",1,2022-11-09 10:49:54.150000128,14_market_exhibit_2027_2022
16,"ai, uses, technology, blockchain, artificial",1,2022-11-09 10:49:54.150000128,16_blockchain_ai_cloud_chain
-1,"canada, said, supply, china, trade",26,2022-11-27 10:46:26.200000000,-1_said_supply_chain_new
0,"iev, lectra, unilever, textilegenesis, china",3,2022-11-27 10:46:26.200000000,0_lithium_battery_minerals_supply
1,"energy, theft, wind, offshore, electricity",4,2022-11-27 10:46:26.200000000,1_energy_supply_said_chain
2,"apple, china, cent, india, iphone",7,2022-11-27 10:46:26.200000000,2_apple_china_iphone_india
3,"supply, chains, chain, investment, inventory",3,2022-11-27 10:46:26.200000000,3_supply_chain_business_businesses
4,"ppe, medpro, mone, barrowman, profits",2,2022-11-27 10:46:26.200000000,4_labour_said_forced_workers
5,"igus, chain, cleanroom, aws, supply",3,2022-11-27 10:46:26.200000000,5_chain_supply_solutions_logistics
6,"excelpoint, phuay, taiwan, trade, tsmc",3,2022-11-27 10:46:26.200000000,6_semiconductor_india_taiwan_vietnam
8,"shortages, drug, drugs, shortage, said",5,2022-11-27 10:46:26.200000000,8_drug_shortages_health_drugs
11,"food, cream, morelli, ireland, ice",2,2022-11-27 10:46:26.200000000,11_food_agri_milk_farmers
14,"market, rtx, 22, 2021, revenue",5,2022-11-27 10:46:26.200000000,14_market_exhibit_2027_2022
-1,"seat, covid, china, automotive, supply",14,2022-12-15 10:42:58.249999872,-1_said_supply_chain_new
0,"battery, electric, vehicle, housing, graphex",4,2022-12-15 10:42:58.249999872,0_lithium_battery_minerals_supply
1,"sugar, jinkosolar, said, oil, sugarcane",6,2022-12-15 10:42:58.249999872,1_energy_supply_said_chain
2,"apple, china, india, iphone, manufacturing",7,2022-12-15 10:42:58.249999872,2_apple_china_iphone_india
3,"knix, cn, act, supply, griffiths",3,2022-12-15 10:42:58.249999872,3_supply_chain_business_businesses
4,"workers, labour, labor, factory, said",7,2022-12-15 10:42:58.249999872,4_labour_said_forced_workers
5,"igus, iguverse, virtual, digital, o9",3,2022-12-15 10:42:58.249999872,5_chain_supply_solutions_logistics
6,"taiwan, tsmc, semiconductor, european, europe",2,2022-12-15 10:42:58.249999872,6_semiconductor_india_taiwan_vietnam
7,"china, chinese, semiconductor, technology, chip",3,2022-12-15 10:42:58.249999872,7_china_ukraine_war_military
8,"bray, drugs, said, medicines, drug",9,2022-12-15 10:42:58.249999872,8_drug_shortages_health_drugs
12,"china, chip, chinese, export, said",2,2022-12-15 10:42:58.249999872,12_china_think_taiwan_chinese
14,"market, chainsaw, global, demand, growth",1,2022-12-15 10:42:58.249999872,14_market_exhibit_2027_2022
15,"chewy, pet, sam, stock, club",2,2022-12-15 10:42:58.249999872,15_prices_stores_walmart_price
-1,"said, supply, chain, jewelry, china",18,2023-01-02 10:39:30.300000000,-1_said_supply_chain_new
0,"gerdau, vendors, lithium, oems, oem",5,2023-01-02 10:39:30.300000000,0_lithium_battery_minerals_supply
1,"hydrogen, amsterdam, green, port, masdar",4,2023-01-02 10:39:30.300000000,1_energy_supply_said_chain
2,"apple, india, china, iphone, foxconn",6,2023-01-02 10:39:30.300000000,2_apple_china_iphone_india
3,"supply, percent, business, chain, mercado",6,2023-01-02 10:39:30.300000000,3_supply_chain_business_businesses
4,"hospital, patients, mental, workers, study",2,2023-01-02 10:39:30.300000000,4_labour_said_forced_workers
5,"gep, syncron, skyscend, sap, service",3,2023-01-02 10:39:30.300000000,5_chain_supply_solutions_logistics
6,"china, semiconductor, dell, southeast, manufacturing",3,2023-01-02 10:39:30.300000000,6_semiconductor_india_taiwan_vietnam
7,"ukraine, tonnes, war, russia, president",3,2023-01-02 10:39:30.300000000,7_china_ukraine_war_military
9,"food, prices, eggs, organic, price",5,2023-01-02 10:39:30.300000000,9_food_prices_price_supply
10,"vegan, veganuary, plant, cheese, chicken",4,2023-01-02 10:39:30.300000000,10_vegan_grocery_said_food
11,"food, horsemeat, ireland, agri, beef",3,2023-01-02 10:39:30.300000000,11_food_agri_milk_farmers
12,"task, force, japan, trade, labor",2,2023-01-02 10:39:30.300000000,12_china_think_taiwan_chinese
14,"capgemini, organizations, investment, research, institute",1,2023-01-02 10:39:30.300000000,14_market_exhibit_2027_2022
15,"learn, experiment, science, students, kids",1,2023-01-02 10:39:30.300000000,15_prices_stores_walmart_price
16,"blockchain, data, customer, chain, information",2,2023-01-02 10:39:30.300000000,16_blockchain_ai_cloud_chain
-1,"said, titanium, supply, new, hobson",16,2023-01-20 10:36:02.350000128,-1_said_supply_chain_new
0,"automotive, lithium, apac, battery, vehicle",6,2023-01-20 10:36:02.350000128,0_lithium_battery_minerals_supply
1,"scotland, energy, offshore, chain, scotwind",6,2023-01-20 10:36:02.350000128,1_energy_supply_said_chain
2,"apple, luxshare, iphone, wang, zhu",1,2023-01-20 10:36:02.350000128,2_apple_china_iphone_india
3,"twinco, everstream, supply, chain, risk",3,2023-01-20 10:36:02.350000128,3_supply_chain_business_businesses
4,"cotton, australian, exploitation, workers, garment",1,2023-01-20 10:36:02.350000128,4_labour_said_forced_workers
5,"kellyocg, deere, iseekglobal, supplier, shape",3,2023-01-20 10:36:02.350000128,5_chain_supply_solutions_logistics
7,"china, chip, chinese, ukraine, washington",4,2023-01-20 10:36:02.350000128,7_china_ukraine_war_military
8,"drug, api, china, shortages, drugs",1,2023-01-20 10:36:02.350000128,8_drug_shortages_health_drugs
9,"food, prices, price, coffee, supply",6,2023-01-20 10:36:02.350000128,9_food_prices_price_supply
10,"vegan, chicken, veganuary, plant, cheese",3,2023-01-20 10:36:02.350000128,10_vegan_grocery_said_food
13,"million, profit, net, quarter, teradyne",3,2023-01-20 10:36:02.350000128,13_gaap_million_market_net
14,"exhibit, market, 2027, 2022, forecast",1,2023-01-20 10:36:02.350000128,14_market_exhibit_2027_2022
16,"bitcoin, blockchain, financial, technology, management",1,2023-01-20 10:36:02.350000128,16_blockchain_ai_cloud_chain
-1,"valentine, day, february, supply, chain",23,2023-02-07 10:32:34.400000000,-1_said_supply_chain_new
0,"battery, electric, lithium, batteries, ford",6,2023-02-07 10:32:34.400000000,0_lithium_battery_minerals_supply
1,"ff, company, inclusive, business, faraday",2,2023-02-07 10:32:34.400000000,1_energy_supply_said_chain
2,"apple, vietnam, luxshare, iphone, china",3,2023-02-07 10:32:34.400000000,2_apple_china_iphone_india
3,"logistics, supply, customer, bastock, d2c",3,2023-02-07 10:32:34.400000000,3_supply_chain_business_businesses
4,"supermax, labour, forced, canada, government",2,2023-02-07 10:32:34.400000000,4_labour_said_forced_workers
6,"status, founded, year, platform, online",2,2023-02-07 10:32:34.400000000,6_semiconductor_india_taiwan_vietnam
7,"defense, forces, ground, china, japan",4,2023-02-07 10:32:34.400000000,7_china_ukraine_war_military
8,"bernard, tender, ministry, process, shortages",1,2023-02-07 10:32:34.400000000,8_drug_shortages_health_drugs
9,"food, ceos, attend, committee, loblaw",1,2023-02-07 10:32:34.400000000,9_food_prices_price_supply
11,"dairy, food, regulator, milk, farmers",3,2023-02-07 10:32:34.400000000,11_food_agri_milk_farmers
12,"samoa, territory, american, meeting, study",1,2023-02-07 10:32:34.400000000,12_china_think_taiwan_chinese
14,"involves, chain, supply, scm, management",1,2023-02-07 10:32:34.400000000,14_market_exhibit_2027_2022
15,"pet, toys, shipping, offers, free",1,2023-02-07 10:32:34.400000000,15_prices_stores_walmart_price
-1,"morrisons, supply, trident, chain, said",17,2023-02-25 10:29:06.449999872,-1_said_supply_chain_new
0,"battery, lithium, ev, batteries, electric",7,2023-02-25 10:29:06.449999872,0_lithium_battery_minerals_supply
1,"energy, adjusted, esg, fuel, tran",6,2023-02-25 10:29:06.449999872,1_energy_supply_said_chain
2,"apple, india, foxconn, china, iphone",5,2023-02-25 10:29:06.449999872,2_apple_china_iphone_india
3,"businesses, supply, alibaba, business, chain",5,2023-02-25 10:29:06.449999872,3_supply_chain_business_businesses
4,"argentina, puma, picture, rewilding, pumas",1,2023-02-25 10:29:06.449999872,4_labour_said_forced_workers
5,"oritain, nla, hgi, quality, apparel",2,2023-02-25 10:29:06.449999872,5_chain_supply_solutions_logistics
6,"furniture, woodworking, india, delhiwood, mattress",1,2023-02-25 10:29:06.449999872,6_semiconductor_india_taiwan_vietnam
7,"lisin, nlmk, belgium, eu, russia",1,2023-02-25 10:29:06.449999872,7_china_ukraine_war_military
8,"constipation, probiotic, probiotics, lactobacillus, health",2,2023-02-25 10:29:06.449999872,8_drug_shortages_health_drugs
9,"food, prices, shortages, supply, said",3,2023-02-25 10:29:06.449999872,9_food_prices_price_supply
12,"think, china, henry, right, kaiser",6,2023-02-25 10:29:06.449999872,12_china_think_taiwan_chinese
13,"aston, year, lagonda, martin, million",2,2023-02-25 10:29:06.449999872,13_gaap_million_market_net
14,"aerospace, defense, fuel, fuels, market",1,2023-02-25 10:29:06.449999872,14_market_exhibit_2027_2022
16,"ethereum, blockchain, oil, parties, challenges",2,2023-02-25 10:29:06.449999872,16_blockchain_ai_cloud_chain
-1,"costco, china, chain, membership, said",8,2023-03-15 10:25:38.500000000,-1_said_supply_chain_new
0,"treasury, minerals, battery, critical, vehicles",4,2023-03-15 10:25:38.500000000,0_lithium_battery_minerals_supply
1,"water, cm, officials, lakes, tube",3,2023-03-15 10:25:38.500000000,1_energy_supply_said_chain
3,"payment, payments, supply, boost, businesses",3,2023-03-15 10:25:38.500000000,3_supply_chain_business_businesses
4,"tornado, fork, said, rolling, ms",2,2023-03-15 10:25:38.500000000,4_labour_said_forced_workers
5,"software, delta, supply, chain, yonder",5,2023-03-15 10:25:38.500000000,5_chain_supply_solutions_logistics
6,"chips, asml, samsung, semiconductors, semiconductor",1,2023-03-15 10:25:38.500000000,6_semiconductor_india_taiwan_vietnam
7,"munitions, ammunition, munition, production, defense",1,2023-03-15 10:25:38.500000000,7_china_ukraine_war_military
8,"vaccines, vaccine, temperature, cold, storage",3,2023-03-15 10:25:38.500000000,8_drug_shortages_health_drugs
9,"food, aid, kuwait, people, prices",3,2023-03-15 10:25:38.500000000,9_food_prices_price_supply
10,"steakhouse, steak, quality, beef, meat",2,2023-03-15 10:25:38.500000000,10_vegan_grocery_said_food
11,"food, fertiliser, bpm, moloney, meat",3,2023-03-15 10:25:38.500000000,11_food_agri_milk_farmers
12,"cook, china, apple, korea, export",2,2023-03-15 10:25:38.500000000,12_china_think_taiwan_chinese
14,"market, management, segment, chain, 2032",1,2023-03-15 10:25:38.500000000,14_market_exhibit_2027_2022
16,"dpps, blockchain, product, dpp, information",1,2023-03-15 10:25:38.500000000,16_blockchain_ai_cloud_chain
-1,"said, trade, supply, china, art",16,2023-04-02 10:22:10.550000128,-1_said_supply_chain_new
0,"li, cycle, minerals, critical, lithium",10,2023-04-02 10:22:10.550000128,0_lithium_battery_minerals_supply
1,"chep, nwtn, porsche, waste, environmental",7,2023-04-02 10:22:10.550000128,1_energy_supply_said_chain
2,"apple, china, said, iphone, chinese",4,2023-04-02 10:22:10.550000128,2_apple_china_iphone_india
3,"small, town, business, services, businesses",2,2023-04-02 10:22:10.550000128,3_supply_chain_business_businesses
4,"santos, forced, companies, labour, labor",4,2023-04-02 10:22:10.550000128,4_labour_said_forced_workers
5,"truecommerce, actyv, hy, berkshire, fourkites",4,2023-04-02 10:22:10.550000128,5_chain_supply_solutions_logistics
6,"semiconductor, taiwan, vietnam, chip, manufacturing",5,2023-04-02 10:22:10.550000128,6_semiconductor_india_taiwan_vietnam
8,"hawley, drug, fox, health, china",3,2023-04-02 10:22:10.550000128,8_drug_shortages_health_drugs
9,"food, grocery, chicken, prices, fast",2,2023-04-02 10:22:10.550000128,9_food_prices_price_supply
10,"grocery, said, food, competition, canada",13,2023-04-02 10:22:10.550000128,10_vegan_grocery_said_food
12,"nuclear, reaffirm, china, efforts, security",1,2023-04-02 10:22:10.550000128,12_china_think_taiwan_chinese
14,"management, chain, supply, market, businesses",2,2023-04-02 10:22:10.550000128,14_market_exhibit_2027_2022
15,"stores, store, specialty, fresh, grocery",2,2023-04-02 10:22:10.550000128,15_prices_stores_walmart_price
16,"kaso, computing, ai, restaurants, industry",2,2023-04-02 10:22:10.550000128,16_blockchain_ai_cloud_chain
-1,"mec, said, supply, ketcheson, chain",28,2023-04-20 10:18:42.600000000,-1_said_supply_chain_new
0,"reserves, palladium, largest, countries, lithium",6,2023-04-20 10:18:42.600000000,0_lithium_battery_minerals_supply
1,"wind, offshore, oil, energy, power",5,2023-04-20 10:18:42.600000000,1_energy_supply_said_chain
2,"iphone, apple, foxconn, 15, luxshare",1,2023-04-20 10:18:42.600000000,2_apple_china_iphone_india
3,"reply, supply, d2c, digital, lea",2,2023-04-20 10:18:42.600000000,3_supply_chain_business_businesses
4,"workers, liquor, labour, anwar, forced",3,2023-04-20 10:18:42.600000000,4_labour_said_forced_workers
5,"mirakl, truecommerce, cbd, web, charlotte",3,2023-04-20 10:18:42.600000000,5_chain_supply_solutions_logistics
6,"india, population, minerals, salon, china",5,2023-04-20 10:18:42.600000000,6_semiconductor_india_taiwan_vietnam
7,"sudan, military, khartoum, rsf, said",2,2023-04-20 10:18:42.600000000,7_china_ukraine_war_military
8,"bath, bed, fentanyl, said, mr",2,2023-04-20 10:18:42.600000000,8_drug_shortages_health_drugs
10,"fees, suppliers, said, loblaw, grocery",1,2023-04-20 10:18:42.600000000,10_vegan_grocery_said_food
11,"milk, food, dairy, traceability, agri",4,2023-04-20 10:18:42.600000000,11_food_agri_milk_farmers
13,"gaap, teradyne, net, non, cash",2,2023-04-20 10:18:42.600000000,13_gaap_million_market_net
15,"inflation, central, rates, monetary, price",1,2023-04-20 10:18:42.600000000,15_prices_stores_walmart_price
16,"parker, ai, electronics, industry, chain",2,2023-04-20 10:18:42.600000000,16_blockchain_ai_cloud_chain
17,"bath, bed, wilko, bankruptcy, stores",2,2023-04-20 10:18:42.600000000,17_wilko_stores_buy_bath
-1,"cvent, said, toys, india, resin",22,2023-05-08 10:15:14.649999872,-1_said_supply_chain_new
0,"rubber, tyres, natural, apollo, battery",4,2023-05-08 10:15:14.649999872,0_lithium_battery_minerals_supply
1,"renesas, disclosures, esg, requirements, platforms",2,2023-05-08 10:15:14.649999872,1_energy_supply_said_chain
2,"apple, india, iphone, manufacturing, china",3,2023-05-08 10:15:14.649999872,2_apple_china_iphone_india
3,"disruptions, supply, chain, importers, data",2,2023-05-08 10:15:14.649999872,3_supply_chain_business_businesses
4,"labour, slavery, human, forced, modern",1,2023-05-08 10:15:14.649999872,4_labour_said_forced_workers
5,"logistics, apac, visibility, software, chain",5,2023-05-08 10:15:14.649999872,5_chain_supply_solutions_logistics
6,"chips, india, semiconductor, china, supply",7,2023-05-08 10:15:14.649999872,6_semiconductor_india_taiwan_vietnam
7,"drone, interdiction, drones, supply, ukraine",2,2023-05-08 10:15:14.649999872,7_china_ukraine_war_military
8,"gambia, health, unicef, immunization, vaccine",1,2023-05-08 10:15:14.649999872,8_drug_shortages_health_drugs
9,"food, prices, price, costs, uk",3,2023-05-08 10:15:14.649999872,9_food_prices_price_supply
10,"vegan, plant, chicken, based, meat",1,2023-05-08 10:15:14.649999872,10_vegan_grocery_said_food
11,"food, costs, farmers, marginal, prices",2,2023-05-08 10:15:14.649999872,11_food_agri_milk_farmers
12,"korea, trudeau, yoon, north, south",1,2023-05-08 10:15:14.649999872,12_china_think_taiwan_chinese
15,"morris, bargains, home, stores, liverpool",1,2023-05-08 10:15:14.649999872,15_prices_stores_walmart_price
16,"dillon, ai, supply, frdm, data",1,2023-05-08 10:15:14.649999872,16_blockchain_ai_cloud_chain
17,"chickeeduck, chow, wilko, kong, hong",1,2023-05-08 10:15:14.649999872,17_wilko_stores_buy_bath
-1,"supply, chain, said, companies, new",18,2023-05-26 10:11:46.700000000,-1_said_supply_chain_new
0,"tecpetrol, offer, alpha, battery, transaction",5,2023-05-26 10:11:46.700000000,0_lithium_battery_minerals_supply
1,"sig, limerick, esg, data, geospatial",4,2023-05-26 10:11:46.700000000,1_energy_supply_said_chain
2,"apple, thailand, iphone, production, china",1,2023-05-26 10:11:46.700000000,2_apple_china_iphone_india
3,"qsrs, supply, financing, corporates, qsr",3,2023-05-26 10:11:46.700000000,3_supply_chain_business_businesses
4,"women, amazon, deforestation, bushra, anum",3,2023-05-26 10:11:46.700000000,4_labour_said_forced_workers
5,"pluto7, kingston, ai, yonder, generative",2,2023-05-26 10:11:46.700000000,5_chain_supply_solutions_logistics
6,"japan, taiwan, japanese, china, tech",2,2023-05-26 10:11:46.700000000,6_semiconductor_india_taiwan_vietnam
7,"worth, billion, net, china, richest",3,2023-05-26 10:11:46.700000000,7_china_ukraine_war_military
9,"food, supply, code, chain, grocery",2,2023-05-26 10:11:46.700000000,9_food_prices_price_supply
10,"woke, fil, chick, bud, conservative",4,2023-05-26 10:11:46.700000000,10_vegan_grocery_said_food
12,"china, tesla, diplomacy, musk, decoupling",2,2023-05-26 10:11:46.700000000,12_china_think_taiwan_chinese
14,"public, carr, awards, sector, scotland",1,2023-05-26 10:11:46.700000000,14_market_exhibit_2027_2022
16,"blockchain, supply, management, chain, technology",3,2023-05-26 10:11:46.700000000,16_blockchain_ai_cloud_chain
-1,"supply, said, chain, logistics, food",19,2023-06-13 10:08:18.750000128,-1_said_supply_chain_new
0,"minerals, critical, mineral, india, lithium",4,2023-06-13 10:08:18.750000128,0_lithium_battery_minerals_supply
1,"livestock, energy, african, c919, gas",5,2023-06-13 10:08:18.750000128,1_energy_supply_said_chain
2,"apple, vision, pro, iphone, manufacturing",4,2023-06-13 10:08:18.750000128,2_apple_china_iphone_india
3,"supply, chains, industry, chain, businesses",3,2023-06-13 10:08:18.750000128,3_supply_chain_business_businesses
4,"forced, temu, labor, uyghur, xinjiang",1,2023-06-13 10:08:18.750000128,4_labour_said_forced_workers
5,"tradewinds, ibsi, banking, sellers, global",3,2023-06-13 10:08:18.750000128,5_chain_supply_solutions_logistics
7,"defense, asml, department, china, supply",4,2023-06-13 10:08:18.750000128,7_china_ukraine_war_military
8,"medical, health, shailemo, distribution, medicines",2,2023-06-13 10:08:18.750000128,8_drug_shortages_health_drugs
9,"gst, tax, gstr, fake, recipient",1,2023-06-13 10:08:18.750000128,9_food_prices_price_supply
10,"beef, burger, quality, fast, shake",2,2023-06-13 10:08:18.750000128,10_vegan_grocery_said_food
11,"food, prices, regulations, surveys, authority",2,2023-06-13 10:08:18.750000128,11_food_agri_milk_farmers
12,"india, modi, partnership, united, states",1,2023-06-13 10:08:18.750000128,12_china_think_taiwan_chinese
13,"market, generative, accounting, report, ai",2,2023-06-13 10:08:18.750000128,13_gaap_million_market_net
14,"rtx, market, adjusted, growth, bromide",2,2023-06-13 10:08:18.750000128,14_market_exhibit_2027_2022
15,"aldi, customers, hmv, halliday, shoppers",2,2023-06-13 10:08:18.750000128,15_prices_stores_walmart_price
16,"cloud, computing, organizations, gen, chain",2,2023-06-13 10:08:18.750000128,16_blockchain_ai_cloud_chain
17,"asics, sports, wilko, said, patel",1,2023-06-13 10:08:18.750000128,17_wilko_stores_buy_bath
-1,"food, said, supply, chain, business",20,2023-07-01 10:04:50.800000000,-1_said_supply_chain_new
0,"lithium, mining, minerals, battery, li",12,2023-07-01 10:04:50.800000000,0_lithium_battery_minerals_supply
1,"maersk, fuel, msc, energy, supply",3,2023-07-01 10:04:50.800000000,1_energy_supply_said_chain
2,"apple, mexico, china, manufacturing, chinese",2,2023-07-01 10:04:50.800000000,2_apple_china_iphone_india
3,"nexterus, supply, chain, strike, ports",1,2023-07-01 10:04:50.800000000,3_supply_chain_business_businesses
4,"meyerhoffer, canadian, office, labour, nike",8,2023-07-01 10:04:50.800000000,4_labour_said_forced_workers
5,"yonder, blue, wajax, forward, corporation",2,2023-07-01 10:04:50.800000000,5_chain_supply_solutions_logistics
6,"hardware, meekaam, taiwan, india, sourcing",2,2023-07-01 10:04:50.800000000,6_semiconductor_india_taiwan_vietnam
7,"gallium, china, export, defence, dutch",2,2023-07-01 10:04:50.800000000,7_china_ukraine_war_military
8,"medimny, pharma, medicines, platform, idpl",1,2023-07-01 10:04:50.800000000,8_drug_shortages_health_drugs
9,"beef, antibiotics, food, prices, tomato",2,2023-07-01 10:04:50.800000000,9_food_prices_price_supply
10,"fries, fry, french, beef, coast",2,2023-07-01 10:04:50.800000000,10_vegan_grocery_said_food
11,"food, milk, farmers, dairy, agri",5,2023-07-01 10:04:50.800000000,11_food_agri_milk_farmers
12,"china, think, henry, going, chinese",2,2023-07-01 10:04:50.800000000,12_china_think_taiwan_chinese
13,"exhibit, market, 2027, 2022, million",2,2023-07-01 10:04:50.800000000,13_gaap_million_market_net
14,"telf, ag, ai, market, supply",2,2023-07-01 10:04:50.800000000,14_market_exhibit_2027_2022
16,"medical, drones, vaccines, delivery, zipline",1,2023-07-01 10:04:50.800000000,16_blockchain_ai_cloud_chain
17,"buy, baby, auction, bath, bed",4,2023-07-01 10:04:50.800000000,17_wilko_stores_buy_bath
-1,"china, collision, market, avoidance, vietnam",11,2023-07-19 10:01:22.849999872,-1_said_supply_chain_new
0,"battery, supply, minerals, lithium, said",5,2023-07-19 10:01:22.849999872,0_lithium_battery_minerals_supply
1,"african, africa, afcfta, manufacturing, trade",2,2023-07-19 10:01:22.849999872,1_energy_supply_said_chain
2,"india, apple, bhandari, semiconductor, mr",1,2023-07-19 10:01:22.849999872,2_apple_china_iphone_india
3,"asean, crises, global, economic, supply",1,2023-07-19 10:01:22.849999872,3_supply_chain_business_businesses
